date,campaign_id,campaign_name,region,category,impressions,clicks,conversions,spend,revenue,foot_traffic,weather_temp,weather_condition
2024-01-07,C004,Tech Deals,West,Electronics,160000,4800,240,2400.00,6000.00,1600,58,Cloudy
2024-01-08,C001,Winter Sale,Northeast,Retail,145000,4350,217,2175.00,5437.50,1450,45,Sunny
2024-01-08,C002,New Year Promo,Southeast,Food & Beverage,118000,3540,177,1770.00,4425.00,1180,80,Sunny
2024-01-08,C003,Holiday Clearance,Midwest,Retail,98000,2940,147,1470.00,3675.00,980,38,Sunny
2024-01-08,C004,Tech Deals,West,Electronics,185000,5550,277,2775.00,6937.50,1850,68,Sunny
2024-01-09,C001,Winter Sale,Northeast,Retail,152000,4560,228,2280.00,5700.00,1520,48,Sunny
2024-01-09,C002,New Year Promo,Southeast,Food & Beverage,125000,3750,187,1875.00,4687.50,1250,82,Sunny
2024-01-09,C003,Holiday Clearance,Midwest,Retail,102000,3060,153,1530.00,3825.00,1020,42,Sunny
2024-01-09,C004,Tech Deals,West,Electronics,192000,5760,288,2880.00,7200.00,1920,70,Sunny
2024-01-10,C001,Winter Sale,Northeast,Retail,148000,4440,222,2220.00,5550.00,1480,44,Cloudy
2024-01-10,C002,New Year Promo,Southeast,Food & Beverage,120000,3600,180,1800.00,4500.00,1200,78,Sunny
2024-01-10,C003,Holiday Clearance,Midwest,Retail,96000,2880,144,1440.00,3600.00,960,36,Cloudy
2024-01-10,C004,Tech Deals,West,Electronics,188000,5640,282,2820.00,7050.00,1880,66,Sunny
2024-01-11,C001,Winter Sale,Northeast,Retail,155000,4650,232,2325.00,5812.50,1550,50,Sunny
2024-01-11,C002,New Year Promo,Southeast,Food & Beverage,128000,3840,192,1920.00,4800.00,1280,85,Sunny
2024-01-11,C003,Holiday Clearance,Midwest,Retail,105000,3150,157,1575.00,3937.50,1050,45,Sunny
2024-01-11,C004,Tech Deals,West,Electronics,198000,5940,297,2970.00,7425.00,1980,72,Sunny
2024-01-12,C001,Winter Sale,Northeast,Retail,162000,4860,243,2430.00,6075.00,1620,52,Sunny
2024-01-12,C002,New Year Promo,Southeast,Food & Beverage,135000,4050,202,2025.00,5062.50,1350,88,Sunny
2024-01-12,C003,Holiday Clearance,Midwest,Retail,110000,3300,165,1650.00,4125.00,1100,48,Sunny
2024-01-12,C004,Tech Deals,West,Electronics,205000,6150,307,3075.00,7687.50,2050,75,Sunny
2024-01-13,C001,Winter Sale,Northeast,Retail,158000,4740,237,2370.00,5925.00,1580,48,Cloudy
2024-01-13,C002,New Year Promo,Southeast,Food & Beverage,130000,3900,195,1950.00,4875.00,1300,82,Sunny
2024-01-13,C003,Holiday Clearance,Midwest,Retail,108000,3240,162,1620.00,4050.00,1080,42,Cloudy
2024-01-13,C004,Tech Deals,West,Electronics,195000,5850,292,2925.00,7312.50,1950,70,Sunny
2024-01-14,C001,Winter Sale,Northeast,Retail,165000,4950,247,2475.00,6187.50,1650,55,Sunny
2024-01-14,C002,New Year Promo,Southeast,Food & Beverage,138000,4140,207,2070.00,5175.00,1380,85,Sunny
2024-01-14,C003,Holiday Clearance,Midwest,Retail,115000,3450,172,1725.00,4312.50,1150,50,Sunny
2024-01-14,C004,Tech Deals,West,Electronics,210000,6300,315,3150.00,7875.00,2100,78,Sunny

